name,contact,state,city,status,date_time,info
Ongc hospital (dr bhasin),"9410390212, 9410396477",Uttarakhand,Dehradun,Beds Available,02/06 12:44 pm,"normal beds, ONLY contact 9410396477 - dr praveen"
Om trauma center,99270 70692,Uttar Pradesh,Meerut,Beds Available,02/06 12:34 pm,50 beds: oxygen 
Ojas hospital,8888588880,Maharashtra,Pune,Beds Available,02/06 12:33 pm,Oxygen beds available. No ICU.
New india hospital ,7466081174,Uttar Pradesh,Kanpur,Beds Available,02/06 12:31 pm,both
Military Hospital,"9259158069, 9012163784",Uttarakhand,Roorkee,Beds Available,02/06 12:29 pm,oxy
Mrtb (dch) hospital,9826969099,Madhya Pradesh,Indore,Beds Available,02/06 12:00 pm,oxygen beds 
Mool chand ( park inn by radisson),9971844827/ 9873234732,Delhi,Delhi,Beds Available,02/06 11:59 am,Contact (call/whatsapp) the first number and send the patient details; bed will be arranged accordingly. Oxygen and ICU beds are available.
"Mgs hospital, punjabi bagh",01145111444,Delhi,Delhi,Beds Available,02/06 11:59 am,beds available. no details given.
Medipulse hospital ,9001918358,Rajasthan,Jodhpur,Beds Available,02/06 11:58 am,"Oxygen beds available, however, since ward has been minimized, it's better if the patient is taken tomorrow morning (in case it isn't an emergency situation)"
Medicity ,9549212367,Rajasthan,Jodhpur,Beds Available,02/06 11:57 am,oxy and venti
